User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
56kbird,Chicago,"One party, the #Democrats spent 60 years expanding #voter’srights One party, #Republican, spent 60 years squashing #voter’s rights.",1901,1922,140882,8/31/2011 1:49,10/27/2020 3:12,0,"[{'text': 'Democrats', 'indices': [15, 25]}, {'text': 'voter', 'indices': [51, 57]}, {'text': 'Republican', 'indices': [77, 88]}, {'text': 'voter', 'indices': [115, 121]}]"
JLightbearer,United States,"@DuckCommanderPR @realDonaldTrump NOW is the TIME to END the
#Republican Regime of CHAOS

✍ Write Us In TODAY -Nov… https://t.co/ATYGRtqtFM",419,101,5952,12/1/2016 14:03,10/27/2020 3:12,0,"[{'text': 'Republican', 'indices': [61, 72]}]"
JLightbearer,United States,"@Newsweek NOW is the TIME to END the
#Republican Regime of CHAOS

✍ Write Us In TODAY -Nov 3rd
To UNSEAT… https://t.co/FemwQyYRE3",419,101,5952,12/1/2016 14:03,10/27/2020 3:11,0,"[{'text': 'Republican', 'indices': [37, 48]}]"
JLightbearer,United States,"@NPR NOW is the TIME to END the
#Republican Regime of CHAOS

✍ Write Us In TODAY -Nov 3rd
To UNSEAT… https://t.co/ZAErC2nBQh",419,101,5952,12/1/2016 14:03,10/27/2020 3:11,0,"[{'text': 'Republican', 'indices': [32, 43]}]"
thatswhatsup333,Pa,Ony one #republican Sen. Susan Collins does the right thing and votes with the #Democrats against Justice  Barrett. https://t.co/v1kQzDYwKU,4679,4030,37703,10/6/2011 0:24,10/27/2020 3:10,0,"[{'text': 'republican', 'indices': [8, 19]}, {'text': 'Democrats', 'indices': [79, 89]}]"
SavageTooney,,I sure hope people that are voting in the US for @realDonaldTrump are voting down ballot #Republican. The @GOP may… https://t.co/hMJeWoIS9L,1173,453,43880,5/18/2017 18:29,10/27/2020 3:09,0,"[{'text': 'Republican', 'indices': [89, 100]}]"
BigHeadTales,"Leftywood, Fascist America","@Amy_Siskind End every #Republican. 

Vote every Republican out from Trump to your dog catcher. 

Make sure every R… https://t.co/R1G2gyDrmg",599,466,80393,2/9/2010 19:47,10/27/2020 3:09,0,"[{'text': 'Republican', 'indices': [23, 34]}]"
Walleye_17,🇺🇸,@realDonaldTrump deserves a ton of credit. He’s working his tail off to earn votes. 3 to 4 rallies and media access… https://t.co/4D9ydptP5n,513,275,7605,9/15/2009 16:57,10/27/2020 3:09,0,[]
e_sanchez,"California, USA","Promises made, promises kept #Vote #Red #Republican #Trump2020 #TrumpPence2020 https://t.co/M01eLlspl8",1868,414,4804,4/4/2009 8:00,10/27/2020 3:08,0,"[{'text': 'Vote', 'indices': [29, 34]}, {'text': 'Red', 'indices': [35, 39]}, {'text': 'Republican', 'indices': [40, 51]}, {'text': 'Trump2020', 'indices': [52, 62]}, {'text': 'TrumpPence2020', 'indices': [63, 78]}]"
anon_RicoRich,God's Country,History (his story) can be repeated again on 11-3-20 only if you #WakeUpAmerica #WakeUpUSA #Democrat #Republican… https://t.co/u06sBx3DKw,1706,1587,33228,2/25/2018 5:35,10/27/2020 3:07,1,"[{'text': 'WakeUpAmerica', 'indices': [65, 79]}, {'text': 'WakeUpUSA', 'indices': [80, 90]}, {'text': 'Democrat', 'indices': [91, 100]}, {'text': 'Republican', 'indices': [101, 112]}]"
TinFoilHats_,,"BREAKING:  🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️

#hunterdidntkillhimself #biden #trump #joebiden #election #bernie #maga #democrat… https://t.co/LbYICbmSR8",6,7,51,8/1/2020 22:31,10/27/2020 3:07,0,"[{'text': 'hunterdidntkillhimself', 'indices': [33, 56]}, {'text': 'biden', 'indices': [57, 63]}, {'text': 'trump', 'indices': [64, 70]}, {'text': 'joebiden', 'indices': [71, 80]}, {'text': 'election', 'indices': [81, 90]}, {'text': 'bernie', 'indices': [91, 98]}, {'text': 'maga', 'indices': [99, 104]}, {'text': 'democrat', 'indices': [105, 114]}]"
zachariasmith7,,@DanODonnellShow Mr #LawAndOrder @DanODonnellShow gettin smoked in comments by the fact he is advocating airport br… https://t.co/uz0UU3zO29,206,14,667,7/19/2020 0:42,10/27/2020 3:05,0,"[{'text': 'LawAndOrder', 'indices': [20, 32]}]"
