User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
thejoshuablog,new york city,Via @MotherJones: It’s Official. The Senate Just Confirmed Amy Coney Barrett to Replace Ruth Ginsburg on the Suprem… https://t.co/y70TJpfMez,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,Via @MotherJones: Payday Lenders Gave Trump Millions. Then He Helped Them Cash In on the Working Poor.… https://t.co/eeMaEUkXYo,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,Via @MotherJones: Asylum Is Dead. The Myth of American Decency Died With It. https://t.co/gdMIFnAFA2 | #politics #trump #election2020,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,"[{'text': 'politics', 'indices': [103, 112]}, {'text': 'trump', 'indices': [113, 119]}, {'text': 'election2020', 'indices': [120, 133]}]"
thejoshuablog,new york city,Via @MotherJones: A Radical New Plan for MeToo Turns Away From “Law and Order” Feminism https://t.co/pE1ujKp0ZL |… https://t.co/V9QJTjvEvI,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,Via @MotherJones: America’s Immigration System Was Already Broken. Trump Made a Weapon Out of Its Shards.… https://t.co/H2OAv7XHZx,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,"Via @MotherJones: If Trump Loves Hypersonic Missiles So Much, He Really Should Learn How To Pronounce Their Name… https://t.co/RkFUUAK0KW",2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,Via @MotherJones: What Happened to the Investigation Into the FBI’s 2016 Leaks? https://t.co/B5llmLtz1P | #politics #trump #election2020,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,"[{'text': 'politics', 'indices': [106, 115]}, {'text': 'trump', 'indices': [116, 122]}, {'text': 'election2020', 'indices': [123, 136]}]"
thejoshuablog,new york city,"Via @TPM: In Final Week, Trump Is Committed To Crafting Alternate Reality Where He’s Winning… https://t.co/Ublr71GSZ3",2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,Via @TPM: Trump’s Justices Have Finally Spelled Out Their Hardcore Approach To Election Disputes… https://t.co/Eh1GPMnZjH,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,"Via @TPM: 20 Former GOP US Attorneys Snub Trump, Offering ‘Strongest Endorsement’ Of Biden https://t.co/Cf2REzzNoq… https://t.co/So2m3bgmPR",2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,1,[]
